threshold_affinity,threshold_similarity,number_of_pairs,r2_micro,rmse_micro,r2_macro,rmse_macro
0.0,0.0,1265317,0.6515582354758682,0.5627188729765846,-35.70244892846167,0.5697008221727499
0.0,0.1,1265303,0.6515550401037447,0.5627216871490336,-35.70244857255649,0.5697015333856159
0.0,0.3,1243018,0.6480445127403551,0.564259224789991,-35.70303914184158,0.5704296033463881
0.0,0.5,309931,0.6338985056631161,0.5655330882357086,-27.231613318081465,0.5564609601670554
0.0,0.7,15040,0.7242906950122296,0.5485821729956174,0.16295767104920783,0.5302368034293926
0.0,0.9,1710,0.7279643977089374,0.5657402097608245,-0.416242860575963,0.4699907890418926
1.0,0.0,482448,0.6528394304850962,0.7450025848351981,0.3764034920973603,0.7432175020768959
1.0,0.1,482447,0.6528388359279274,0.7450032441781178,0.37640370679885504,0.7432172634015762
1.0,0.3,473223,0.6487773672807864,0.7478905712883128,0.3747292640483988,0.7447820556651169
1.0,0.5,112468,0.6194686609114111,0.7541692029322662,0.11757683650089037,0.7371993580106985
1.0,0.7,4529,0.6760957888199517,0.6984305127546315,-0.4671854709200654,0.6960433180159008
1.0,0.9,381,0.6306882066353101,0.7624001519435764,-5.360389957006939,0.6081923796820177
1.5,0.0,290589,0.6326936051669085,0.8433621348094227,-0.06859595911980763,0.8150345078038775
1.5,0.1,290589,0.6326936051669085,0.8433621348094227,-0.06859595911980763,0.8150345078038775
1.5,0.3,285671,0.6294269172156721,0.8457803369455096,-0.0701723516179305,0.8159917235831984
1.5,0.5,66161,0.6043768234056377,0.8539803269117813,-0.027074355538771515,0.8142945221535373
1.5,0.7,2360,0.6730814012183951,0.7761147606069978,-8.337006477074e+25,0.7576776528467514
1.5,0.9,194,0.6260047608330204,0.845801702100743,-12.93466789547724,0.6203235786570092
2.0,0.0,164806,0.6228042365309173,0.9501792162026307,0.3045369079154347,0.890217112963024
2.0,0.1,164806,0.6228042365309173,0.9501792162026307,0.3045369079154347,0.890217112963024
2.0,0.3,162042,0.6200431110066245,0.9525375804332309,0.30323476074983063,0.8909303500233222
2.0,0.5,36676,0.5957126477438661,0.9631623310349675,0.37655474957865015,0.8889754008802141
2.0,0.7,1156,0.6820917699406892,0.8479648080841424,-11.9794186899395,0.7696999652009979
2.0,0.9,91,0.6499978136526248,0.911674138840764,-1.807738400466659,0.6796825423454183
2.5,0.0,92505,0.6149715557393387,1.067016361042642,-9.151332597264024e+27,0.9824379681759507
2.5,0.1,92505,0.6149715557393387,1.067016361042642,-9.151332597264024e+27,0.9824379681759507
2.5,0.3,90839,0.6120892138622815,1.0701575197335527,-9.151332597264024e+27,0.9850413048939592
2.5,0.5,19705,0.5841426206941782,1.0894171906941545,-1.0560157258969038e+26,0.9871741814813303
2.5,0.7,554,0.6879250348826583,0.9370476934267434,-1.204207087912913e+28,0.8687286160207757
2.5,0.9,42,0.6601906234583961,0.9870134944223878,-3.7937064828627816,0.6880534374434252
3.0,0.0,43007,0.5985857342151102,1.240539687679434,-13.565316452535193,1.0352351575583303
3.0,0.1,43007,0.5985857342151102,1.240539687679434,-13.565316452535193,1.0352351575583303
3.0,0.3,42099,0.5955068605113139,1.2451800739236525,-13.559746384016176,1.0339885159585065
3.0,0.5,8642,0.5659161664263203,1.272848293630094,-1.0265602904837395e+28,1.0306084644755042
3.0,0.7,236,0.6960796143495854,1.0200774091421136,-1.2688717907203266,0.8367334179388943
3.0,0.9,25,0.6500266337117832,1.075186379677926,0.514256849576877,0.6965422868258005
3.5,0.0,17091,0.5653942129587658,1.5038675392047873,-0.6347203662998354,1.0703345422801318
3.5,0.1,17091,0.5653942129587658,1.5038675392047873,-0.6347203662998354,1.0703345422801318
3.5,0.3,16598,0.5618480654400514,1.5134505210189333,-2.6217919690138656e+27,1.06863541193855
3.5,0.5,3055,0.5086239863394175,1.6210719220894794,-0.5846082450627375,1.0238754020664451
3.5,0.7,77,0.6705869368878187,1.1625701619696345,-10.756244585591581,0.8890131545783161
3.5,0.9,6,0.7403135847331692,0.9756514983727024,0.0,1.020443287636108
4.0,0.0,5812,0.493765707505481,1.9876013066796978,-4.801551186934645e+27,1.1559656897841137
4.0,0.1,5812,0.493765707505481,1.9876013066796978,-4.801551186934645e+27,1.1559656897841137
4.0,0.3,5636,0.4899985255611935,2.0033858477684436,-6.698610190314576e+27,1.1476830428361093
4.0,0.5,994,0.4111351046316931,2.2337660743809074,-2.755073681362416e+27,1.0318434821352918
4.0,0.7,12,0.35687705164088934,1.8212104245364242,0.0,1.0149228369847745
