threshold_affinity,threshold_similarity,number_of_pairs,r2_micro,rmse_micro,r2_macro,rmse_macro
0.0,0.0,884727,0.7676805110605531,0.7193538952976565,-54.41053507876766,0.7903733242440768
0.0,0.1,883706,0.7675766196352232,0.7191406142811941,-54.41064775156625,0.7902828285095655
0.0,0.3,665931,0.7668960375436261,0.7133788346365586,-58.409922195455906,0.7774714689315544
0.0,0.5,216699,0.79985987695292,0.6746622460163342,-1.7364318032830277,0.7519550824838428
0.0,0.7,97203,0.807868858392307,0.6770398582627398,-31.46776243946264,0.7288235222973514
0.0,0.9,18167,0.7174313602437647,0.7737157844681762,-242.66387515463077,0.7021774986212742
1.0,0.0,497800,0.7603975137501299,0.7810728295645023,-94.91520217368908,0.8955899137762473
1.0,0.1,497034,0.7601815209666298,0.7809712226005411,-94.91560385758449,0.8956445870898494
1.0,0.3,358143,0.7545422434360693,0.7850248185487985,-99.71500847000479,0.8871141466988044
1.0,0.5,91837,0.7649934415466513,0.7958654345678537,-8.431292567926308,0.8663458250127876
1.0,0.7,35591,0.7527291440478319,0.8393541040313623,-42.872305966155224,0.9044874477944992
1.0,0.9,5819,0.5913024337755137,1.015452404860568,-12.196332106521398,0.9293300200656653
1.5,0.0,359083,0.7632542712132756,0.8143036316238972,-1.9291139102197573e+28,0.9592588569487107
1.5,0.1,358422,0.762971881035897,0.8142797323367429,-1.9291139102197573e+28,0.9594736502318305
1.5,0.3,252513,0.7547556579624796,0.8233161060073153,-3.5616912669840564,0.9505004201157127
1.5,0.5,57766,0.7457442244182728,0.8703223045989393,-8.81110798622834,0.9608632115027818
1.5,0.7,20827,0.7168027510978541,0.943792907887481,-38.14321329336069,1.019424121747036
1.5,0.9,3164,0.507690436270744,1.170990737568975,-7.166542108443115e+27,1.0939150912466646
2.0,0.0,246928,0.7678820779069766,0.855048908532558,-2.2235449134408225e+28,0.986304941006705
2.0,0.1,246379,0.7675374236927147,0.8551218691765519,-2.2235449134408225e+28,0.9865020021722578
2.0,0.3,168698,0.7566929911038015,0.8708086576140986,-1.3083744483096391,0.9963265100426356
2.0,0.5,34166,0.7272049414733239,0.955834913760956,-16.91268595662901,1.0094869341264912
2.0,0.7,11742,0.6802004327147133,1.057807852189561,-23.915452769289782,1.105690485582375
2.0,0.9,1663,0.44008021467047853,1.335301399363077,-21.536065353912303,1.237250426366333
2.5,0.0,162067,0.7745288511974742,0.9027780463939586,-2.4729698948817455e+28,1.0582954081565412
2.5,0.1,161647,0.7741122422734126,0.9029499718761432,-2.4729698948817455e+28,1.0584668116740454
2.5,0.3,107127,0.7612700997014235,0.9266900688316804,-1.1864713272924814,1.0891099283561774
2.5,0.5,19498,0.7121256236334296,1.0540130717288934,-6.951438595308687,1.1159296214737344
2.5,0.7,6378,0.6442517156106239,1.1902719270748703,-69.76953547026648,1.2550762944620306
2.5,0.9,822,0.3895131806905445,1.5183907196774187,-59.10008455908265,1.4699116682950026
3.0,0.0,97333,0.7808673077279044,0.9598717782363003,-2.9123819009970973e+28,1.0972326308632097
3.0,0.1,97025,0.7804117237915374,0.9601198060140601,-2.9123819009970973e+28,1.097931492690762
3.0,0.3,61681,0.7641635695530822,0.9964829123554234,-8.698262530658814,1.118557676634194
3.0,0.5,9954,0.6885293800662268,1.1823223458939047,-22.763399764785397,1.1853227547550758
3.0,0.7,3095,0.5928092550517845,1.3759624088784255,-1.7970681080401322e+28,1.3671692928529515
3.0,0.9,373,0.31255057514621776,1.7639123578437803,-63.56152661115135,1.5596611931064204
3.5,0.0,54377,0.7862053524106175,1.0266556315663282,-3.6708146877150912e+28,1.177415536514742
3.5,0.1,54187,0.7856558707374853,1.0270062643888946,-3.6708146877150912e+28,1.1785462072984203
3.5,0.3,33436,0.7658415460373503,1.0766907237561496,-1.4629646407148935,1.24372119786604
3.5,0.5,4904,0.6662565210211315,1.318266665565046,-19.104354261420124,1.2938948223736049
3.5,0.7,1477,0.5473035010874128,1.5560792712438476,-113745.1555034959,1.5085264438156087
3.5,0.9,170,0.27826198507724453,1.9967513351008122,-2.8938941449309072,1.7783273823938468
4.0,0.0,26113,0.7814633841812247,1.1335741632933043,-8.93236198612343e+28,1.2912581649082127
4.0,0.1,26000,0.7806328971479258,1.1343280563130986,-2.5876889866492082e+26,1.2938119649758546
4.0,0.3,15418,0.7556229624431421,1.2026623842502795,-4.698642800275315e+28,1.344676949534824
4.0,0.5,1948,0.5943723960554189,1.5713049515621629,-2.048271176905957e+28,1.4404378541004912
4.0,0.7,547,0.3946338599446183,1.9533967288516922,-4.646078523225707e+28,1.6485562804351181
4.0,0.9,65,0.15486993364956092,2.337125685636738,-21.33120848226179,1.9511880758797204
