threshold_affinity,threshold_similarity,number_of_pairs,r2_micro,rmse_micro,r2_macro,rmse_macro
0.0,0.0,1265317,0.7043010601557815,0.5183836111332066,-46.59760071099593,0.5171583015493765
0.0,0.1,1265303,0.7042981142219882,0.5183864089015601,-46.59760073721888,0.5171597954749468
0.0,0.3,1243018,0.7008735913089448,0.5201902118173237,-46.598779475090794,0.5181054644764297
0.0,0.5,309931,0.6851545843242619,0.524452253673019,-8.720135070001126,0.5054406841563298
0.0,0.7,15040,0.7455013561359922,0.5270583704440462,0.2631477940390587,0.4780764784765366
0.0,0.9,1710,0.7440542568074032,0.5487545445012398,-0.6802152526764889,0.45790903150105156
1.0,0.0,482448,0.7048664193470486,0.6869132551730067,0.4427644822777585,0.6848772091679098
1.0,0.1,482447,0.7048658409539573,0.6869139479868944,0.4427644842013958,0.6848776037277914
1.0,0.3,473223,0.7010810492839625,0.6899593996569332,0.44099606169752215,0.6866701457306628
1.0,0.5,112468,0.6716113075166468,0.700596036821486,-0.25264806993801825,0.6834952846894198
1.0,0.7,4529,0.6905342680451647,0.6826863034935436,-1.424371597280925,0.654695613113349
1.0,0.9,381,0.6422175546081206,0.7504053126289092,-7.768735557320475,0.60897174980675
1.5,0.0,290589,0.6930714717538937,0.7709362764464968,-0.21987940094017583,0.7635242677216404
1.5,0.1,290589,0.6930714717538937,0.7709362764464968,-0.21987940094017583,0.7635242677216404
1.5,0.3,285671,0.6900968031184198,0.7734525528700766,-0.22120872902107233,0.7644542021279009
1.5,0.5,66161,0.666086939075698,0.7845555635487161,0.16584205638505914,0.7661957510449513
1.5,0.7,2360,0.6906776232625575,0.7549388896410016,-3.6760339479626904e+25,0.7156350250636085
1.5,0.9,194,0.6367872246904736,0.833520097222046,-10.85514320701519,0.6003965902382788
2.0,0.0,164806,0.6924117107102628,0.8580389877207059,0.33548938228904474,0.8237303285631165
2.0,0.1,164806,0.6924117107102628,0.8580389877207059,0.33548938228904474,0.8237303285631165
2.0,0.3,162042,0.689901164380952,0.860528037768585,0.3340690242429048,0.824570658586234
2.0,0.5,36676,0.6687143524913934,0.8718780057116797,0.4005887508047909,0.8245067815414537
2.0,0.7,1156,0.7074228893429821,0.813480443058849,-5.164414050255374,0.6894857093546495
2.0,0.9,91,0.6617988166620794,0.8961729235900167,-1.8704355208331849,0.6711802931261005
2.5,0.0,92505,0.6924271295132267,0.9536712369273422,-5.808037351253553e+27,0.9042364662233849
2.5,0.1,92505,0.6924271295132267,0.9536712369273422,-5.808037351253553e+27,0.9042364662233849
2.5,0.3,90839,0.6896793695098473,0.9571656490552217,-5.808037351253553e+27,0.90545333603614
2.5,0.5,19705,0.669078512762427,0.9718170216771747,-3.8148894535740407e+25,0.9063852751821262
2.5,0.7,554,0.7210279968274237,0.8859567903554498,-2.388162830226206e+28,0.7860208073610234
2.5,0.9,42,0.6768172807652294,0.9625636931519744,-4.132276461754061,0.5569960264029367
3.0,0.0,43007,0.682973533710773,1.1024579192844628,-25.379369721815134,0.9423355480241785
3.0,0.1,43007,0.682973533710773,1.1024579192844628,-25.379369721815134,0.9423355480241785
3.0,0.3,42099,0.6798432518914581,1.1077912034829713,-25.3759762332463,0.9408274983974407
3.0,0.5,8642,0.6555539552222329,1.133836516529415,-8.611386956745428e+27,0.9408413213280604
3.0,0.7,236,0.7358266731302057,0.951037620130937,0.5509623017532956,0.7082583925607261
3.0,0.9,25,0.6501666697031789,1.0749712492285426,0.6304936953708113,0.7179929393803511
3.5,0.0,17091,0.687795618612318,1.2746217634724635,-0.7471503383955377,0.9930409907469817
3.5,0.1,17091,0.687795618612318,1.2746217634724635,-0.7471503383955377,0.9930409907469817
3.5,0.3,16598,0.6844401585006605,1.2843894365344644,-3.8761166675166065e+27,0.991875276446619
3.5,0.5,3055,0.6449287224449025,1.3780122510275525,0.30440077111457453,0.9112634378552994
3.5,0.7,77,0.7598756881603778,0.9925829942928336,-9.758711852932764,0.6119371940374946
3.5,0.9,6,0.8516983617604436,0.7372980316080535,0.0,0.7241190345538326
4.0,0.0,5812,0.6577796790307687,1.634204455345832,-3.197629687966522e+27,1.0184405468243733
4.0,0.1,5812,0.6577796790307687,1.634204455345832,-3.197629687966522e+27,1.0184405468243733
4.0,0.3,5636,0.6545532836962509,1.6488054719613552,-4.158491063589494e+27,1.014039925968572
4.0,0.5,994,0.5834480876914748,1.878730234358101,-4.997390131031037e+27,0.8889891830736978
4.0,0.7,12,0.42152093689029446,1.7272569417962296,0.0,0.5885624622546164
