threshold_affinity,threshold_similarity,r2_micro,rmse_micro,r2_macro,rmse_macro
0,0.0,0.8426604087462131,0.3319823061062322,0.7650068364132946,0.3500092604655068
1,0.1,0.8631513432218727,0.46965739233925324,0.7415467737649301,0.47871533257809185
1,0.3,0.8622517487599716,0.47034871920124555,0.740843667089351,0.4791385852453298
1,0.5,0.8492661141661079,0.4795435592223114,0.7330115533415194,0.48576644545465525
1,0.7,0.8387445570771673,0.5071905228707043,0.4753754705176033,0.5185443267033886
1,0.9,0.8234491885973086,0.5322909986721553,-5.067648295655674,0.5421437047576717
2,0.1,0.8744291790531558,0.5493500032406394,0.2689023981903119,0.5756722863638869
2,0.3,0.8740200325094648,0.5495099312090277,0.26874483757502954,0.5754709892365366
2,0.5,0.8639883777940174,0.5602639196832204,0.707840009937073,0.5703539726733555
2,0.7,0.8616600922401968,0.57964415383082,-1.2083940846543726e+26,0.5868291163014908
2,0.9,0.8355342879741214,0.6324900922665428,-4.868495769433015e+26,0.5809913235264568
3,0.1,0.8912216410222226,0.643772455357037,0.3732851388936044,0.6416055181141213
3,0.3,0.8910807991152678,0.6440389885215624,0.37366501321599455,0.6409224257458114
3,0.5,0.8778007451722356,0.6684760579671429,0.6898279423601942,0.6312918779540119
3,0.7,0.881509394656737,0.6614175790330808,-7.856405593119169e+27,0.6224993740502488
3,0.9,0.8612140827239025,0.6849108921062008,-1.1694616453811954e+27,0.6106193201654974
4,0.1,0.9194729461469098,0.7767302753691142,-7.618430830477865e+27,0.7354118324371948
4,0.3,0.919675827067024,0.7796272146724215,-7.618430830477865e+27,0.7357928156889366
4,0.5,0.9090227984257333,0.8321648432944071,-1.7071155802645082e+27,0.782249409041788
4,0.7,0.9082536316690974,0.7864482752146105,-21.979953625839087,0.754325780690441
4,0.9,0.831835661099166,0.8902300088332095,0.3999953682733308,0.8026119487873277
